Epoch,Train accuracy,Test accuracy,Train loss,Test loss
1,0.6341853141784668,0.7409510016441345,20.446434020996094,19.298927307128906
2,0.6691516041755676,0.7466288208961487,10.993205070495605,13.525003433227539
3,0.6714590191841125,0.7650816440582275,9.553431510925293,2.52732515335083
4,0.675541341304779,0.762952446937561,7.901215076446533,5.501175403594971
5,0.6954206824302673,0.7700496912002563,5.771939754486084,1.4362473487854004
6,0.7085552215576172,0.7423704862594604,4.663092613220215,10.106765747070312
7,0.7055377960205078,0.7572746872901917,4.486643314361572,0.7610566020011902
8,0.7055377960205078,0.7466288208961487,3.8183090686798096,6.882246971130371
9,0.7197372913360596,0.7586941123008728,3.603548288345337,3.784116268157959
10,0.719204843044281,0.3392477035522461,2.633370876312256,9.168254852294922
11,0.7080227136611938,0.7586941123008728,1.4474543333053589,1.4414976835250854
12,0.7165424227714539,0.46132007241249084,1.2079683542251587,1.7088598012924194
13,0.7200922966003418,0.7473385334014893,1.0592635869979858,0.6231607794761658
14,0.723997175693512,0.7700496912002563,1.0766582489013672,0.9143824577331543
15,0.7321618795394897,0.4776437282562256,0.8295151591300964,1.1842831373214722
16,0.7364217042922974,0.7849538922309875,0.7592513561248779,0.5533885359764099
17,0.7800852060317993,0.779985785484314,0.5564531087875366,0.5530334115028381
18,0.780795156955719,0.7515968680381775,0.5695205926895142,0.5378995537757874
19,0.782037615776062,0.7757274508476257,0.5238515138626099,0.6419157981872559
20,0.7831025719642639,0.7778566479682922,0.4858396351337433,0.5484799146652222
21,0.780795156955719,0.7814052700996399,0.48498132824897766,0.564633846282959
22,0.7791977524757385,0.7870830297470093,0.485975056886673,0.45679837465286255
23,0.7839900851249695,0.7487579584121704,0.4625779390335083,0.4980675280094147
24,0.7811501622200012,0.7821149826049805,0.4743407070636749,0.5441632270812988
25,0.7836350798606873,0.7501774430274963,0.4974636137485504,0.5988574624061584
26,0.7836350798606873,0.7508871555328369,0.46007058024406433,0.4782123267650604
27,0.7825701236724854,0.779985785484314,0.4653330147266388,0.4966253936290741
28,0.789314866065979,0.4804826080799103,0.45937246084213257,1.429328441619873
29,0.7815051674842834,0.7885024547576904,0.4722384214401245,0.4908325970172882
30,0.78558748960495,0.7643718719482422,0.4598419964313507,0.8955283164978027
31,0.7862975001335144,0.7686302065849304,0.47987645864486694,0.5356859564781189
32,0.7861199975013733,0.7941802740097046,0.4599654972553253,0.4538579285144806
33,0.791799783706665,0.49893540143966675,0.45051074028015137,1.5318446159362793
34,0.7903798222541809,0.7643718719482422,0.459462434053421,0.470023512840271
35,0.7951721549034119,0.7650816440582275,0.456595778465271,0.5481634140014648
36,0.7866524457931519,0.7913413643836975,0.5016420483589172,0.47735002636909485
37,0.7948172092437744,0.7515968680381775,0.44417428970336914,0.6648492217063904
38,0.7909123301506042,0.7650816440582275,0.45275619626045227,0.5277866721153259
39,0.7878949046134949,0.7955996990203857,0.4498681426048279,0.4514008164405823
40,0.7886049151420593,0.7984386086463928,0.45367586612701416,0.47747141122817993
41,0.796592116355896,0.7437899112701416,0.447434663772583,0.507210910320282
42,0.7898473739624023,0.773598313331604,0.4656398296356201,0.4966776371002197
43,0.7852325439453125,0.7984386086463928,0.46023544669151306,0.43040502071380615
44,0.795349657535553,0.7849538922309875,0.4410386085510254,0.4589122533798218
45,0.7942847013473511,0.7842441201210022,0.4436754584312439,0.49507322907447815
46,0.7957046627998352,0.7984386086463928,0.43587785959243774,0.4560815393924713
47,0.7928647398948669,0.7892122268676758,0.44621920585632324,0.44648054242134094
48,0.7930422425270081,0.7530163526535034,0.4476255178451538,0.5087453722953796
49,0.7955271601676941,0.7579843997955322,0.4442201852798462,0.47308623790740967
50,0.7955271601676941,0.799858033657074,0.44783204793930054,0.44946420192718506
51,0.791799783706665,0.793470561504364,0.4942936301231384,0.5988733768463135
52,0.7996095418930054,0.7686302065849304,0.44112327694892883,0.5114285349845886
53,0.795349657535553,0.7835344076156616,0.43688976764678955,0.4542827308177948
54,0.7939296960830688,0.7686302065849304,0.44629544019699097,0.4728778302669525
55,0.7937521934509277,0.7366926670074463,0.4458976686000824,0.5296435356140137
56,0.7937521934509277,0.4918381869792938,0.44293755292892456,1.7723791599273682
57,0.7900248765945435,0.7586941123008728,0.46988382935523987,0.512242317199707
58,0.7955271601676941,0.7693399786949158,0.44463106989860535,0.5216044783592224
59,0.7946397066116333,0.7728886008262634,0.4426795244216919,0.6194162368774414
60,0.7944622039794922,0.7913413643836975,0.44181323051452637,0.45742085576057434
61,0.7949946522712708,0.7686302065849304,0.4418509006500244,0.5240737795829773
62,0.7935747504234314,0.7991483211517334,0.4707253873348236,0.4514457881450653
63,0.7967696189880371,0.6501064300537109,0.4424346089363098,0.6071381568908691
64,0.7925097346305847,0.7892122268676758,0.45963555574417114,0.4527007043361664
65,0.7919772863388062,0.7877927422523499,0.43914082646369934,0.46510663628578186
66,0.7958821654319763,0.7743080258369446,0.4380880892276764,0.5679308176040649
67,0.7925097346305847,0.7665010690689087,0.4398786127567291,0.5665261745452881
68,0.7935747504234314,0.8055358529090881,0.43718430399894714,0.44176870584487915
69,0.795349657535553,0.7877927422523499,0.43964165449142456,0.4886518716812134
70,0.7980120778083801,0.7863733172416687,0.43844929337501526,0.45707958936691284
71,0.79410719871521,0.7821149826049805,0.4407055377960205,0.48097842931747437
72,0.7946397066116333,0.652945339679718,0.43919503688812256,0.6997387409210205
73,0.7960596084594727,0.7558552026748657,0.44722285866737366,0.8028751611709595
74,0.7919772863388062,0.7615330219268799,0.4443051218986511,0.4903770685195923
75,0.7930422425270081,0.7913413643836975,0.43587759137153625,0.45357316732406616
76,0.7887824177742004,0.7913413643836975,0.7239077091217041,0.459128201007843
77,0.7948172092437744,0.5542938113212585,0.4285614490509033,2.0500845909118652
78,0.7944622039794922,0.8062455654144287,0.45656853914260864,0.45011672377586365
79,0.7960596084594727,0.7757274508476257,0.4392922818660736,0.5544148683547974
80,0.7985445261001587,0.7849538922309875,0.43691638112068176,0.4848979711532593
81,0.7912673354148865,0.7721788287162781,0.49523991346359253,0.4543469250202179
82,0.7914447784423828,0.6983676552772522,0.4380744695663452,0.5587605834007263
83,0.7928647398948669,0.8090844750404358,0.5122312903404236,0.4324261248111725
84,0.7981895804405212,0.8048261404037476,0.42712458968162537,0.43020328879356384
85,0.7981895804405212,0.8034066557884216,0.4528791606426239,0.441344290971756
86,0.7967696189880371,0.773598313331604,0.43582481145858765,0.5852822661399841
87,0.7997869849205017,0.7941802740097046,0.4372987449169159,0.48150962591171265
88,0.8008519411087036,0.7835344076156616,0.4350896179676056,0.4798647165298462
89,0.7976570725440979,0.7856636047363281,0.43273916840553284,0.5457752346992493
90,0.7962371110916138,0.8012775182723999,0.43217548727989197,0.44422534108161926
91,0.795349657535553,0.7714691162109375,0.43684640526771545,0.45011699199676514
92,0.7946397066116333,0.7849538922309875,0.4348217844963074,0.44397982954978943
93,0.7948172092437744,0.7920510768890381,0.43334701657295227,0.4490104913711548
94,0.7980120778083801,0.7899219393730164,0.49091315269470215,0.44736140966415405
95,0.7999644875526428,0.773598313331604,0.4508516788482666,0.5747852921485901
96,0.7962371110916138,0.7622427344322205,0.4401574730873108,0.4651697278022766
97,0.800319492816925,0.7948899865150452,0.4327448606491089,0.4883895516395569
98,0.7992545366287231,0.7856636047363281,0.4352776110172272,0.48998668789863586
99,0.7930422425270081,0.7963094115257263,0.43699952960014343,0.43340006470680237
100,0.7949946522712708,0.5741660594940186,0.43082746863365173,0.8079119324684143
